id,adhyaya,pada,sutra_number,sutra_text,adhikarana
190,2,2,17,ॐ अपरिग्रहाच्चात्यन्तमनपेक्षा ॐ,वैशेषिकाधिकरणम्
191,2,2,18,ॐ समुदाय उभयहेतुकेऽपि तदप्राप्तिः ॐ,समुदायाधिकरणम्
192,2,2,19,ॐ इतरेतरप्रत्ययात्वादिति चेन्न उत्पत्तिमात्रनिमित्तत्वात् ॐ,समुदायाधिकरणम्
193,2,2,20,ॐ उत्तरोत्पादे च पूर्वनिरोधात् ॐ,समुदायाधिकरणम्
194,2,2,21,ॐ असति प्रतिज्ञोपरोधो यौगपद्यमन्यथा ॐ,समुदायाधिकरणम्
195,2,2,22,ॐ प्रतिसङ्ख्याऽप्रतिसङ्ख्यानिरोधप्राप्तिरविच्छेदात् ॐ,समुदायाधिकरणम्
196,2,2,23,ॐ उभयथा च दोषात् ॐ,समुदायाधिकरणम्
197,2,2,24,ॐ आकाशे चाविशेषात् ॐ,समुदायाधिकरणम्
198,2,2,25,ॐ अनुस्मृतेश्च ॐ,समुदायाधिकरणम्
199,2,2,26,ॐ नासतोऽदृष्टत्वात् ॐ,असदधिकरणम्
200,2,2,27,ॐ उदासीनानामपि चैवं सिद्धिः ॐ,असदधिकरणम्
201,2,2,28,ॐ नाभाव उपलब्धेः ॐ,असदधिकरणम्
202,2,2,29,ॐ वैधर्म्याच्च न स्वप्नादिवत् ॐ,असदधिकरणम्
203,2,2,30,ॐ न भावोऽनुपलब्धेः ॐ,अनुपलब्द्यधिकरणम्
204,2,2,31,ॐ क्षणिकत्वाच्च ॐ,अनुपलब्द्यधिकरणम्
205,2,2,32,ॐ सर्वथाऽनुपपत्तेश्च ॐ,अनुपलब्द्यधिकरणम्
206,2,2,33,ॐ नैकस्मिन्नसम्भवात् ॐ,नैकस्मिन्नधिकरणम्
207,2,2,34,ॐ एवञ्चात्माकार्त्स्न्यम् ॐ,नैकस्मिन्नधिकरणम्
208,2,2,35,ॐ न च पर्यायादप्यविरोधो विकारादिभ्यः ॐ,नैकस्मिन्नधिकरणम्
209,2,2,36,ॐ अन्त्यावस्थितेश्चोभयनित्यत्वादविशेषात् ॐ,नैकस्मिन्नधिकरणम्
210,2,2,37,ॐ पत्युरसामञ्जस्यात् ॐ,पत्युरधिकरणम्
211,2,2,38,ॐ सम्बन्धानुपपत्तेश्च ॐ,पत्युरधिकरणम्
212,2,2,39,ॐ अधिष्ठानानुपपत्तेश्च ॐ,पत्युरधिकरणम्
213,2,2,40,ॐ करणवच्चेन्न भोगादिभ्यः ॐ,पत्युरधिकरणम्
214,2,2,41,ॐ अन्तवत्त्वमसर्वज्ञता वा ॐ,पत्युरधिकरणम्
215,2,2,42,ॐ उत्पत्यसम्भवात् ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
216,2,2,43,ॐ न च कर्तुः करणम् ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
217,2,2,44,ॐ विज्ञानादिभावे वा तदप्रतिषेधः ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
218,2,2,45,ॐ विप्रतिषेधाच्च ॐ,उत्पत्त्य(शक्त्य)धिकरणम्
219,2,3,1,ॐ न वियदश्रुतेः ॐ,वियदधिकरणम्
220,2,3,2,ॐ अस्तितु ॐ,वियदधिकरणम्
221,2,3,3,ॐ गौण्यसम्भवात् ॐ,वियदधिकरणम्
222,2,3,4,ॐ शब्दाच्च ॐ,वियदधिकरणम्
223,2,3,5,ॐ स्याच्चैकस्य ब्रह्मशब्दवत् ॐ,वियदधिकरणम्
224,2,3,6,ॐ प्रतिज्ञाहानिरव्यतिरेकाच्छब्देभ्यः ॐ,वियदधिकरणम्
225,2,3,7,ॐ यावद्विकारं तु विभागो लोकवत् ॐ,वियदधिकरणम्
226,2,3,8,ॐ एतेन मातरिश्वा व्याख्यातः ॐ,मातरिश्वाधिकरणम्
227,2,3,9,ॐ असम्भवस्तु सतोऽनुपपत्तेः ॐ,असम्भवाधिकरणम्
228,2,3,10,ॐ तेजोऽतस्तथा ह्याह ॐ,तेजोऽधिकरणम्
229,2,3,11,ॐ आपः ॐ,अबधिकरणम्
230,2,3,12,ॐ पृथिव्यधिकाररूपशब्दान्तरादिभ्यः ॐ,पृथिव्यधिकरणम्
231,2,3,13,ॐ तदभिध्यानादेव तु तल्लिङ्गात् सः ॐ,तदभिध्यानाधिकरणम्
232,2,3,14,ॐ विपर्ययेण तु क्रमोऽत उपपद्यते च ॐ,विपर्ययाधिकरणम्
233,2,3,15,ॐ अन्तरा विज्ञानमनसी क्रमेण तल्लिङ्गादिति चेन्नाविशेषात् ॐ,अन्तराधिकरणम्
234,2,3,16,ॐ चराचरव्यपाश्रयस्तु स्यात् तद्व्यपदेशो भाक्तस्तद्भावभावित्वात् ॐ,अन्तराधिकरणम्
235,2,3,17,ॐ नात्माऽश्रुतेर्नित्यत्वाच्च ताभ्यः ॐ,आत्माधिकरणम्
236,2,3,18,ॐ ज्ञोऽत एव ॐ,ज्ञाधिकरणम्
237,2,3,19,ॐ युक्तेश्च ॐ,ज्ञाधिकरणम्
238,2,3,20,ॐ उत्क्रान्तिगत्यागतीनाम् ॐ,उत्क्रान्त्यधिकरणम्
239,2,3,21,ॐ स्वात्मना चोत्तरयोः ॐ,उत्क्रान्त्यधिकरणम्
240,2,3,22,ॐ नाणुरतच्छ्रुतेरिति चेन्नेतराधिकारात् ॐ,उत्क्रान्त्यधिकरणम्
241,2,3,23,ॐ स्वशब्दोन्मानाभ्यां च ॐ,उत्क्रान्त्यधिकरणम्
242,2,3,24,ॐ अविरोधश्चन्दनवत् ॐ,उत्क्रान्त्यधिकरणम्
243,2,3,25,ॐ अवस्थितिवैशेष्यादिति चेन्नाभ्युपगमाद्धृदि हि ॐ,उत्क्रान्त्यधिकरणम्
244,2,3,26,ॐ गुणाद्वाऽऽलोकवत् ॐ,उत्क्रान्त्यधिकरणम्
245,2,3,27,ॐ व्यतिरेको गन्धवत् तथा च दर्शयति ॐ,व्यतिरेकाधिकरणम्
246,2,3,28,ॐ पृथगुपदेशात् ॐ,पृथगुपदेशाधिकरणम्
247,2,3,29,ॐ तद्गुणसारत्वात् तु तद्व्यपदेशः प्राज्ञवत् ॐ,पृथगुपदेशाधिकरणम्
248,2,3,30,ॐ यावदात्माभावित्वाच्च न दोषस्तद्दर्शनात् ॐ,यावदधिकरणम्
249,2,3,31,ॐ पुंस्त्वादिवत्त्वस्यसतोऽभिव्यक्तियोगात् ॐ,पुंस्त्वाधिकरणम्
250,2,3,32,ॐ नित्योपलब्ध्यनुपलब्धिप्रसङ्गोऽन्यतरनियमो वाऽन्यथा ॐ,पुंस्त्वाधिकरणम्
251,2,3,33,ॐ कर्ता शास्त्रार्थवत्त्वात् ॐ,कर्तृत्वाधिकरणम्
252,2,3,34,ॐ विहारोपदेशात् ॐ,कर्तृत्वाधिकरणम्
253,2,3,35,ॐ उपादानात् ॐ,कर्तृत्वाधिकरणम्
254,2,3,36,ॐ व्यपदेशाच्च क्रियायां न चेन्निर्देशविपर्ययः ॐ,कर्तृत्वाधिकरणम्
255,2,3,37,ॐ उपलब्धिवदनियमः ॐ,कर्तृत्वाधिकरणम्
256,2,3,38,ॐ शक्तिविपर्ययात् ॐ,कर्तृत्वाधिकरणम्
257,2,3,39,ॐ समाध्यभावाच्च ॐ,कर्तृत्वाधिकरणम्
258,2,3,40,ॐ यथा च तक्षोभयथा ॐ,कर्तृत्वाधिकरणम्
259,2,3,41,ॐ परात् तु तच्छ्रुतेः ॐ,कर्तृत्वाधिकरणम्
260,2,3,42,ॐ कृतप्रयत्नापेक्षस्तुविहितप्रतिषेधावैयर्थ्यादिभ्यः ॐ,कर्तृत्वाधिकरणम्
261,2,3,43,ॐ अंशो नानाव्यपदेशादन्यथा चापि दाशकितवादित्वमधीयत एके ॐ,अंशाधिकरणम्
262,2,3,44,ॐ मन्त्रवर्णात् ॐ,अंशाधिकरणम्
